Year,County,Retail_sum,Index_Total_sum,Violent_Total_sum,Murder_sum,Rape_sum,Robbery_sum,Aggravated_Assault_sum,Property_Total_sum,Burglary_sum,Larceny_sum,Motor_Vehicle_Theft_sum,Region,Crime_Rate_Change,FFR,Population_Estimate,FFRPopulation,Crimepopulation
2016,Albany,374,17532,2198,10,214,586,1388,15334,1798,13104,432,Non-New York City,Decrease,345,"307,628",892,18
2016,Allegany,68,1144,162,0,72,0,90,982,242,696,44,Non-New York City,Decrease,20,"47,039",2352,41
2016,Bronx,2199,36834,13817,98,615,4297,8807,23017,2459,19191,1367,New York City,Increase,963,"1,445,237",1501,39
2016,Broome,240,10848,1280,10,256,284,730,9568,1986,7204,378,Non-New York City,Decrease,154,"194,345",1262,18
2016,Cattaraugus,92,2524,276,0,112,16,148,2248,408,1748,92,Non-New York City,Decrease,41,"77,708",1895,31
2016,Cayuga,83,2856,368,2,128,34,204,2488,482,1944,62,Non-New York City,Decrease,50,"77,666",1553,27
2016,Chautauqua,150,6656,712,8,168,130,406,5944,1454,4280,210,Non-New York City,Decrease,94,"129,350",1376,19
2016,Chemung,105,4128,344,6,56,76,206,3784,540,3154,90,Non-New York City,Decrease,53,"85,676",1617,21
2016,Chenango,75,1932,198,0,102,14,82,1734,344,1370,20,Non-New York City,Decrease,27,"48,317",1790,25
2016,Clinton,127,2790,270,0,134,8,128,2520,402,2080,38,Non-New York City,Decrease,39,"80,524",2065,29
2016,Columbia,134,1674,200,0,80,12,108,1474,268,1184,22,Non-New York City,Decrease,41,"60,882",1485,36
2016,Cortland,65,1640,86,2,38,4,42,1554,308,1232,14,Non-New York City,Decrease,42,"47,919",1141,29
2016,Delaware,101,1342,196,0,86,10,100,1146,280,844,22,Non-New York City,Decrease,25,"45,446",1818,34
2016,Dutchess,383,8232,1132,8,222,228,674,7100,962,5982,156,Non-New York City,Decrease,258,"293,049",1136,36
2016,Erie,1122,51632,7584,102,610,2576,4296,44048,8304,33384,2360,Non-New York City,Decrease,746,"918,479",1231,18
2016,Essex,82,794,116,0,44,4,68,678,200,462,16,Non-New York City,Decrease,28,"37,675",1346,47
2016,Franklin,66,1412,216,0,118,6,92,1196,194,978,24,Non-New York City,Decrease,24,"51,077",2128,36
2016,Fulton,65,2364,300,2,120,26,152,2064,308,1712,44,Non-New York City,Decrease,42,"53,604",1276,23
2016,Genesee,79,2526,254,0,74,40,140,2272,408,1762,102,Non-New York City,Decrease,35,"58,022",1658,23
2016,Greene,77,1108,208,0,64,6,138,900,238,640,22,Non-New York City,Decrease,30,"47,525",1584,43
2016,Hamilton,16,108,10,0,4,0,6,98,32,64,2,Non-New York City,Decrease,5,"4,557",911,42
2016,Herkimer,72,2214,246,0,62,22,162,1968,324,1602,42,Non-New York City,Decrease,39,"62,446",1601,28
2016,Jefferson,157,4762,562,4,184,34,340,4200,702,3400,98,Non-New York City,Decrease,102,"113,015",1108,24
2016,Kings,4183,50802,15523,128,678,4907,9810,35279,3832,29366,2081,New York City,Decrease,2118,"2,611,232",1233,51
2016,Lewis,42,472,60,2,40,0,18,412,144,260,8,Non-New York City,Decrease,14,"26,652",1904,56
2016,Livingston,72,1772,182,8,50,16,108,1590,240,1304,46,Non-New York City,Decrease,48,"63,942",1332,36
2016,Madison,89,2062,244,2,118,22,102,1818,282,1466,70,Non-New York City,Decrease,44,"71,291",1620,35
2016,Monroe,713,37530,4964,90,538,1704,2632,32566,5160,25472,1934,Non-New York City,Decrease,561,"743,531",1325,20
2016,Montgomery,86,2048,166,2,58,28,78,1882,306,1540,36,Non-New York City,Decrease,34,"49,206",1447,24
2016,Nassau,1143,30556,3652,40,124,1468,2020,26904,2966,22556,1382,Non-New York City,Decrease,1292,"1,356,463",1050,44
2016,New York,1891,46653,8839,41,494,2929,5375,37814,2206,34867,741,New York City,Decrease,2622,"1,636,261",624,35
2016,Niagara,243,12290,1700,8,136,560,996,10590,2122,7824,644,Non-New York City,Decrease,138,"211,534",1533,17
2016,Oneida,316,10464,1320,8,320,282,710,9144,1708,7130,306,Non-New York City,Decrease,150,"230,348",1536,22
2016,Onondaga,532,22232,2830,68,312,796,1654,19402,3368,15010,1024,Non-New York City,Decrease,415,"464,033",1118,21
2016,Ontario,129,3732,328,2,156,36,134,3404,606,2730,68,Non-New York City,Decrease,94,"109,267",1162,29
2016,Orange,429,14622,1808,22,264,468,1054,12814,1548,10872,394,Non-New York City,Decrease,306,"378,047",1235,26
2016,Orleans,51,1498,156,0,48,14,94,1342,286,998,58,Non-New York City,Decrease,15,"41,196",2746,28
2016,Oswego,122,4628,530,0,242,44,244,4098,922,3036,140,Non-New York City,Decrease,84,"118,881",1415,26
2016,Otsego,98,1558,180,0,70,20,90,1378,226,1128,24,Non-New York City,Decrease,35,"60,119",1718,39
2016,Putnam,91,1206,74,0,20,12,42,1132,172,912,48,Non-New York City,Decrease,79,"98,812",1251,82
2016,Queens,2535,33800,9356,47,486,2989,5834,24444,3056,19455,1933,New York City,Decrease,1966,"2,309,032",1174,68
2016,Rensselaer,199,7316,944,8,126,228,582,6372,1226,4840,306,Non-New York City,Decrease,109,"159,334",1462,22
2016,Richmond,510,6313,1589,21,99,422,1047,4724,488,3989,247,New York City,Decrease,314,"474,214",1510,75
2016,Rockland,312,7176,768,4,96,208,460,6408,524,5648,236,Non-New York City,Decrease,277,"323,640",1168,45
2016,Saratoga,231,5694,516,4,148,50,314,5178,650,4328,200,Non-New York City,Decrease,51,"109,411",2145,19
2016,Schenectady,197,9370,1386,14,160,332,880,7984,1146,6340,498,Non-New York City,Decrease,159,"227,048",1428,24
2016,Schoharie,56,768,72,0,50,6,16,696,132,540,24,Non-New York City,Decrease,127,"154,473",1216,201
2016,Schuyler,31,236,26,0,8,0,18,210,46,158,6,Non-New York City,Decrease,13,"31,307",2408,133
2016,Seneca,49,1286,134,0,54,2,78,1152,190,938,24,Non-New York City,Decrease,10,"17,948",1795,14
2016,St Lawrence,143,3478,346,2,132,44,168,3132,552,2520,60,Non-New York City,Decrease,22,"34,731",1579,10
2016,Steuben,134,3052,376,2,146,28,200,2676,462,2128,86,Non-New York City,Decrease,46,"96,895",2106,32
2016,Suffolk,1649,46184,3792,66,302,1224,2200,42392,4264,35782,2346,Non-New York City,Decrease,1340,"1,486,804",1110,32
2016,Sullivan,153,2458,394,8,136,46,204,2064,530,1464,70,Non-New York City,Decrease,53,"74,977",1415,31
2016,Tioga,50,926,126,2,50,8,66,800,158,604,38,Non-New York City,Decrease,25,"48,822",1953,53
2016,Tompkins,96,3914,320,4,122,42,152,3594,506,3014,74,Non-New York City,Decrease,79,"102,938",1303,26
2016,Ulster,295,5288,594,8,150,72,364,4694,792,3772,130,Non-New York City,Decrease,141,"179,080",1270,34
2016,Warren,128,2402,224,4,82,18,120,2178,264,1888,26,Non-New York City,Decrease,66,"64,428",976,27
2016,Washington,77,1190,194,0,104,10,80,996,204,766,26,Non-New York City,Decrease,32,"61,767",1930,52
2016,Wayne,107,3246,320,6,114,40,160,2926,626,2202,98,Non-New York City,Decrease,65,"90,754",1396,28
2016,Westchester,979,25086,4232,48,288,1536,2360,20854,2656,16980,1218,Non-New York City,Decrease,770,"970,556",1260,39
2016,Wyoming,46,654,96,6,28,2,60,558,104,446,8,Non-New York City,Decrease,24,"40,406",1684,62
2016,Yates,53,640,34,0,12,2,20,606,156,446,4,Non-New York City,Decrease,14,"25,023",1787,39
2011,Albany,374,21454,2332,14,94,792,1432,19122,3142,15478,502,Non-New York City,Stable,313,"304,564",973,14
2011,Allegany,68,1790,128,0,26,8,94,1662,380,1242,40,Non-New York City,Stable,21,"48,787",2323,27
2011,Bronx,2199,35130,12267,148,204,4580,7335,22863,3395,17358,2110,New York City,Stable,871,"1,397,366",1604,40
2011,Broome,240,13286,1042,6,112,252,672,12244,2132,9880,232,Non-New York City,Stable,167,"199,346",1194,15
2011,Cattaraugus,92,3850,324,2,32,34,256,3526,720,2736,70,Non-New York City,Stable,42,"79,819",1900,21
2011,Cayuga,83,3434,364,6,62,34,262,3070,612,2390,68,Non-New York City,Stable,49,"79,693",1626,23
2011,Chautauqua,150,7374,606,2,68,132,404,6768,1724,4870,174,Non-New York City,Stable,93,"134,198",1443,18
2011,Chemung,105,4556,354,2,26,56,270,4202,814,3306,82,Non-New York City,Stable,58,"88,893",1533,20
2011,Chenango,75,2144,114,0,34,6,74,2030,456,1538,36,Non-New York City,Stable,18,"50,183",2788,23
2011,Clinton,127,3380,148,2,32,12,102,3232,612,2568,52,Non-New York City,Stable,43,"81,716",1900,24
2011,Columbia,134,2468,192,2,10,26,154,2276,504,1740,32,Non-New York City,Stable,35,"62,512",1786,25
2011,Cortland,65,2208,148,0,38,16,94,2060,428,1598,34,Non-New York City,Stable,31,"49,378",1593,22
2011,Delaware,101,1626,152,2,32,16,102,1474,418,1014,42,Non-New York City,Stable,30,"47,578",1586,29
2011,Dutchess,383,11354,1250,14,84,300,852,10104,1914,7890,300,Non-New York City,Stable,214,"298,118",1393,26
2011,Erie,1122,62822,8402,80,390,3430,4502,54420,12954,38392,3074,Non-New York City,Stable,729,"919,747",1262,15
2011,Essex,82,1234,94,0,32,0,62,1140,366,740,34,Non-New York City,Stable,23,"39,256",1707,32
2011,Franklin,66,1946,122,2,20,4,96,1824,442,1324,58,Non-New York City,Stable,29,"51,541",1777,26
2011,Fulton,65,3210,122,0,26,16,80,3088,652,2356,80,Non-New York City,Stable,36,"55,115",1531,17
2011,Genesee,79,2878,224,0,36,24,164,2654,520,2056,78,Non-New York City,Stable,29,"59,886",2065,21
2011,Greene,77,1662,210,0,16,14,180,1452,412,982,58,Non-New York City,Stable,32,"48,850",1527,29
2011,Hamilton,16,116,2,0,2,0,0,114,50,58,6,Non-New York City,Stable,4,"4,826",1207,42
2011,Herkimer,72,2724,282,2,22,28,230,2442,618,1780,44,Non-New York City,Stable,38,"64,373",1694,24
2011,Jefferson,157,4962,364,4,36,48,276,4598,738,3690,170,Non-New York City,Stable,93,"117,769",1266,24
2011,Kings,4184,59014,18182,198,347,7090,10547,40832,6144,31752,2936,New York City,Stable,1856,"2,540,822",1369,43
2011,Lewis,42,838,66,2,8,6,50,772,246,466,60,Non-New York City,Stable,12,"27,023",2252,32
2011,Livingston,72,2148,88,2,20,2,64,2060,306,1718,36,Non-New York City,Stable,38,"64,844",1706,30
2011,Madison,89,2570,106,0,26,10,70,2464,512,1900,52,Non-New York City,Stable,41,"72,879",1778,28
2011,Monroe,713,51332,5322,80,304,1934,3004,46010,10066,33840,2104,Non-New York City,Stable,534,"746,711",1398,15
2011,Montgomery,86,2168,118,0,8,36,74,2050,408,1598,44,Non-New York City,Stable,35,"49,901",1426,23
2011,Nassau,1143,38748,4452,46,126,2148,2132,34296,5568,26628,2100,Non-New York City,Stable,1165,"1,346,176",1156,35
2011,New York,1891,50858,9021,71,288,3648,5014,41837,3082,37856,899,New York City,Stable,2481,"1,608,215",648,32
2011,Niagara,243,14464,1620,10,128,460,1022,12844,3212,9044,588,Non-New York City,Stable,140,"215,709",1541,15
2011,Oneida,316,11878,1102,14,74,260,754,10776,2466,8008,302,Non-New York City,Stable,136,"234,203",1722,20
2011,Onondaga,532,25724,3312,28,226,928,2130,22412,5262,16150,1000,Non-New York City,Stable,366,"467,571",1278,18
2011,Ontario,129,4206,300,0,48,74,178,3906,820,3004,82,Non-New York City,Stable,88,"108,581",1234,26
2011,Orange,429,18016,2032,18,118,786,1110,15984,2818,12692,474,Non-New York City,Stable,251,"374,125",1491,21
2011,Orleans,51,2008,164,4,18,26,116,1844,454,1334,56,Non-New York City,Stable,18,"42,634",2369,21
2011,Oswego,122,6434,362,4,56,44,258,6072,1306,4562,204,Non-New York City,Stable,74,"121,967",1648,19
2011,Otsego,98,2292,238,2,12,24,200,2054,504,1502,48,Non-New York City,Stable,36,"61,964",1721,27
2011,Putnam,91,1720,132,2,6,16,108,1588,356,1196,36,Non-New York City,Stable,62,"99,816",1610,58
2011,Queens,2535,39863,10311,82,221,4057,5951,29552,4815,21588,3149,New York City,Stable,1739,"2,255,559",1297,57
2011,Rensselaer,199,9376,970,2,84,256,628,8406,2306,5802,298,Non-New York City,Stable,114,"159,572",1400,17
2011,Richmond,510,6801,1428,16,32,398,982,5373,723,4310,340,New York City,Stable,298,"471,001",1581,69
2011,Rockland,312,9310,1128,6,66,334,722,8182,1068,6900,214,Non-New York City,Stable,258,"315,439",1223,34
2011,Saratoga,231,6150,264,4,36,40,184,5886,1004,4766,116,Non-New York City,Stable,57,"112,268",1970,18
2011,Schenectady,197,11058,1374,8,86,438,842,9684,2290,6962,432,Non-New York City,Stable,167,"221,088",1324,20
2011,Schoharie,56,866,30,0,6,2,22,836,244,566,26,Non-New York City,Stable,119,"154,856",1301,179
2011,Schuyler,31,344,36,0,10,0,26,308,64,230,14,Non-New York City,Stable,15,"32,621",2175,95
2011,Seneca,49,1362,126,2,14,8,102,1236,224,976,36,Non-New York City,Stable,11,"18,402",1673,14
2011,St Lawrence,143,5030,286,4,42,20,220,4744,1070,3584,90,Non-New York City,Stable,19,"35,314",1859,7
2011,Steuben,134,3374,276,4,54,34,184,3098,628,2394,76,Non-New York City,Stable,48,"99,145",2066,29
2011,Suffolk,1649,62812,4434,64,126,1636,2608,58378,10216,45614,2548,Non-New York City,Stable,1226,"1,498,838",1223,24
2011,Sullivan,153,3880,402,4,40,52,306,3478,1098,2292,88,Non-New York City,Stable,58,"77,047",1328,20
2011,Tioga,50,1182,68,0,10,6,52,1114,298,780,36,Non-New York City,Stable,26,"50,872",1957,43
2011,Tompkins,96,4782,182,2,20,46,114,4600,656,3866,78,Non-New York City,Stable,76,"101,801",1339,21
2011,Ulster,295,7544,670,4,86,130,450,6874,1504,5194,176,Non-New York City,Stable,142,"182,430",1285,24
2011,Warren,128,2988,214,6,38,24,146,2774,452,2270,52,Non-New York City,Stable,68,"65,733",967,22
2011,Washington,77,1732,192,6,30,12,144,1540,372,1134,34,Non-New York City,Stable,39,"63,074",1617,36
2011,Wayne,107,3418,282,0,60,48,174,3136,828,2218,90,Non-New York City,Stable,61,"93,246",1529,27
2011,Westchester,979,32566,5114,42,142,2068,2862,27452,4250,21646,1556,Non-New York City,Stable,762,"956,265",1255,29
2011,Wyoming,46,1056,74,0,10,4,60,982,192,762,28,Non-New York City,Stable,21,"41,839",1992,40
2011,Yates,53,820,26,0,0,0,26,794,218,570,6,Non-New York City,Stable,11,"25,449",2314,31